method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,89.42954540270422,0.7530322786506138,87.55890952114295,91.30018128426549,95.52061026902432,0.6545178780497652,93.89469772514609,97.14652281290255,4.493427535989782,0.008405076738409874,4.472548167893742,4.514306904085822,2.12468915866456,0.006440849978792316,2.108689200336516,2.1406891169926046,12.0,0.0,nan,nan,2106112.0,0.0,nan,nan
L2,90.7634568606108,0.7668736201376041,88.85843718068048,92.66847654054112,97.0925469678619,0.7509329132876845,95.22712619896943,98.95796773675438,4.508233005747253,0.008434579730786363,4.487280348155242,4.529185663339264,2.3109249017462825,0.0021966418072150522,2.305468140993772,2.316381662498793,12.0,0.0,nan,nan,2106112.0,0.0,nan,nan
ElasticNet,89.63572517511865,0.5682634645757622,88.2240804725561,91.0473698776812,95.8695461963041,0.5391693862683059,94.53017519085373,97.20891720175447,4.495740592698038,0.006328697131626181,4.480019237487119,4.511461947908956,2.9801833900571286,0.08032577888467521,2.7806430935039885,3.1797236866102687,12.0,0.0,nan,nan,2106112.0,0.0,nan,nan
WD-tuned,89.42954540270422,0.7530322786506138,87.55890952114295,91.30018128426549,95.52061026902432,0.6545178780497652,93.89469772514609,97.14652281290255,4.493427535989782,0.008405076738409874,4.472548167893742,4.514306904085822,2.12468915866456,0.006440849978792316,2.108689200336516,2.1406891169926046,12.0,0.0,nan,nan,2106112.0,0.0,nan,nan
Tau(alpha=0),90.79616026334855,0.7422584360690714,88.95228809044455,92.64003243625255,97.13739653979563,0.6577529352582409,95.50344766830617,98.7713454112851,4.508594772317907,0.008160585778449185,4.488322753435688,4.528866791200126,2.269600730318869,0.01095175897480507,2.2423950528395555,2.2968064077981825,12.0,0.0,nan,nan,2106112.0,0.0,nan,nan
τ(w),89.4295036016594,0.7530287397186364,87.55887651129251,91.3001306920263,95.52066750655592,0.6544008961503764,93.89504556182557,97.14628945128628,4.4934270687592335,0.008405044183756262,4.472547781533437,4.51430635598503,2.127474702200073,0.007087064480362627,2.109869458058798,2.145079946341348,12.0,0.0,nan,nan,2106112.0,0.0,nan,nan
