method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,19.76508606006432,0.027637146973073696,19.696431581023322,19.833740539105317,19.42669238842897,0.040578740360658755,19.325889209203734,19.52749556765421,2.9839163993481344,0.0013980005434414567,2.980443573477124,2.9873892252191445,1.4180190724895798,0.003948761631740265,1.408209804805461,1.4278283401736986,8.0,0.0,nan,nan,124046592.0,0.0,nan,nan
L2,19.0048999182793,0.028940755720314647,18.93300709558791,19.07679274097069,18.669211410941447,0.0690306260070638,18.497729829611565,18.84069299227133,2.9446960630871,0.0015232315509382773,2.9409121461476864,2.9484799800265136,9.27177212037662,0.3663875771966947,8.361614922745474,10.181929318007764,8.0,0.0,nan,nan,124046592.0,0.0,nan,nan
ElasticNet,19.320485639210137,0.08377579270258635,19.112375033225863,19.52859624519441,18.990364482302677,0.045930468059888,18.876266874476766,19.10446209012859,2.961159707840269,0.004330890810648046,2.950401178652065,2.971918237028473,23.631092313013056,0.35961596674326246,22.737756728278566,24.524427897747547,8.0,0.0,nan,nan,124046592.0,0.0,nan,nan
WD-tuned,19.217910621635543,0.05974795162256449,19.069488481810097,19.36633276146099,18.887270137821947,0.05894906192616689,18.74083255001885,19.033707725625042,2.955839470971989,0.0031062255362822315,2.9481231789761084,2.9635557629678697,2.0792109575516053,0.007026100534150129,2.061757156248174,2.0966647588550367,8.0,0.0,nan,nan,124046592.0,0.0,nan,nan
Tau(alpha=0),19.559872206842567,0.04573433799231935,19.44626181311391,19.673482600571223,19.20987628459406,0.047123724115005074,19.092814464401858,19.32693810478626,2.9734783103625553,0.002336709853750306,2.9676736012934355,2.979283019431675,1.6295068119780887,0.006404106552932835,1.613598129379881,1.6454154945762964,8.0,0.0,nan,nan,124046592.0,0.0,nan,nan
τ(w),19.127795362918437,0.04108198877548011,19.025742045327565,19.22984868050931,18.90236956880091,0.027642915865489514,18.833700759036706,18.971038378565115,2.951140995267071,0.0021466131521775665,2.9458085125832074,2.9564734779509347,4.887974673258255,0.03328671811906753,4.805285881478277,4.970663465038234,8.0,0.0,nan,nan,124046592.0,0.0,nan,nan
