method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,90.40925378726486,0.2374266758206719,90.11444963168513,90.70405794284459,95.89291380088615,0.3466624453935697,95.46247552291167,96.32335207886062,4.504343864943955,0.002628624074646286,4.501079997065655,4.5076077328222555,3.352545174703141,0.04158168100279593,3.3009146984171758,3.404175650989106,7.4,0.5477225575051662,6.719912619341745,8.080087380658256,65647360.0,0.0,nan,nan
Tau(alpha=0),86.92368043667167,0.5379179289119447,86.25576711035337,87.59159376298997,92.17445067282846,0.4279162694666414,91.64312244678607,92.70577889887085,4.465015150426508,0.006196992853240981,4.457320567503513,4.472709733349503,3.8074058119016514,0.012142611421274898,3.7923287684556763,3.8224828553476264,8.4,0.5477225575051662,7.719912619341745,9.080087380658256,65647360.0,0.0,nan,nan
τ(w),86.58905869113374,0.3835847685916978,86.11277529371411,87.06534208855338,92.10021219845888,0.32403582542434295,91.69786857990123,92.50255581701653,4.461165602652581,0.00443506814038875,4.455658738213081,4.466672467092082,4.182719000428959,0.004338449634417063,4.177332103709883,4.188105897148034,8.8,0.4472135954999579,8.244710978960441,9.35528902103956,65647360.0,0.0,nan,nan
