method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,16.386100758372255,0.01831780958884807,16.340596796775934,16.431604719968576,16.988636412349425,0.015173250884414749,16.9509439676176,17.02632885708125,2.7964330441779914,0.0011179231869865001,2.793655969030358,2.799210119325625,0.5288274846873097,0.000631752946170032,0.5272581233692193,0.5303968460054,1.0,0.0,nan,nan,134515008.0,0.0,nan,nan
L2,16.474773805358097,0.01871508258751132,16.428282962923937,16.521264647792258,17.06913816139822,0.015958320785983412,17.02949549491755,17.108780827878892,2.801829920427219,0.0011362717209503512,2.799007264994411,2.804652575860027,1.0058188699162351,0.0005370793311262053,1.004484690895583,1.0071530489368874,1.0,0.0,nan,nan,134515008.0,0.0,nan,nan
ElasticNet,16.418946434578803,0.01890273601714735,16.371989435183345,16.465903433974262,17.017296046497528,0.0166117930440451,16.976030064937024,17.05856202805803,2.798435496585863,0.0011513190054818034,2.795575461626091,2.801295531545635,2.017523576254034,0.00195889091947195,2.0126574214477686,2.0223897310602994,1.0,0.0,nan,nan,134515008.0,0.0,nan,nan
WD-tuned,16.386482199946112,0.019111358487508442,16.339006953604514,16.43395744628771,16.988941596369425,0.015795682765341854,16.949702945129197,17.028180247609654,2.7964562854251347,0.0011663055209021023,2.7935590218972393,2.79935354895303,0.5288282280987809,0.0006572894009326579,0.5271954307103903,0.5304610254871716,1.0,0.0,nan,nan,134515008.0,0.0,nan,nan
Tau(alpha=0),16.39606941023659,0.01827663119600826,16.350667741438834,16.441471079034343,16.99867132116734,0.015003090591717208,16.961401578035648,17.03594106429903,2.797041221781894,0.0011147624056973913,2.7942719984502595,2.799810445113528,0.5357166787912121,0.000722187927310724,0.5339226645260087,0.5375106930564155,1.0,0.0,nan,nan,134515008.0,0.0,nan,nan
τ(w),16.387119215037128,0.018002616282521776,16.342398237019545,16.43184019305471,16.98870022730958,0.015739025025894162,16.949602321696574,17.027798132922584,2.7964952102115563,0.001098598246940078,2.7937661408762695,2.799224279546843,0.5304240847236912,0.0005990748026380804,0.5289359004142985,0.5319122690330839,1.0,0.0,nan,nan,134515008.0,0.0,nan,nan
