method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,129.84909841292543,0.272304620082868,129.51098756962398,130.18720925622688,139.83341831767325,0.686556001146257,138.9809464482992,140.6858901870473,4.866371234956678,0.0020977329724239393,4.863766555446975,4.868975914466382,3.6921710179967633,0.033392981726131796,3.6507081547947493,3.7336338811987773,6.4,0.5477225575051662,5.719912619341745,7.080087380658256,65647360.0,0.0,nan,nan
Tau(alpha=0),128.44197097978437,0.5715235186143585,127.73233080259419,129.15161115697455,138.18629995289857,0.4498178205516502,137.6277773593691,138.74482254642803,4.855469317488618,0.0044401128612931665,4.849956189200789,4.860982445776447,3.9262891912180473,0.003496978595287361,3.9219471187937898,3.930631263642305,7.0,0.0,nan,nan,65647360.0,0.0,nan,nan
τ(w),128.4496642854753,0.7777102067650506,127.48400952069954,129.41531905025107,138.19856831302928,0.6349768497909857,137.410140418951,138.98699620710758,4.855522506315629,0.00603613350695961,4.848027656651686,4.863017355979572,4.105253585216527,0.00357564283748908,4.100813838234782,4.1096933321982725,7.0,0.0,nan,nan,65647360.0,0.0,nan,nan
