method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,64.0875325019758,0.3334378738159227,63.259226905103816,64.91583809884779,67.05972181820282,0.44959363346765735,65.94286931834296,68.17657431806268,4.160240809122722,0.005208002309966243,4.147303414181652,4.173178204063792,2.8119588668200666,0.0038881523460557676,2.802300160948199,2.821617572691934,12.0,0.0,nan,nan,18134784.0,0.0,nan,nan
L2,64.03536342870497,0.3746950169780528,63.104569406624854,64.96615745078508,67.12866389917336,0.44153033721198587,66.03184173762322,68.2254860607235,4.159424092743422,0.005843187781281311,4.1449088096191025,4.173939375867742,3.6604332682797143,0.03301328974077065,3.5784237102457257,3.742442826313703,12.0,0.0,nan,nan,18134784.0,0.0,nan,nan
ElasticNet,63.72009129232591,0.5032929772698,62.4698422274309,64.97034035722092,66.73683424967498,0.5685400760189625,65.32450240619488,68.14916609315509,4.154479060854231,0.007915990770056877,4.134814649656465,4.174143472051997,6.412205773538116,0.45564616574198996,5.280317950003997,7.544093597072235,12.0,0.0,nan,nan,18134784.0,0.0,nan,nan
WD-tuned,62.931459720113345,0.5302404669632548,61.61426937983382,64.24865006039288,65.93262443982888,0.7115602055113985,64.1650108991372,67.70023798052057,4.14202245251163,0.008446126891468834,4.121041110182303,4.163003794840956,3.2081036458259806,0.011232171967440193,3.1802013838567977,3.2360059077951635,12.0,0.0,nan,nan,18134784.0,0.0,nan,nan
Tau(alpha=0),61.623843273441146,0.3037717101961071,60.8692325123801,62.37845403450219,64.59338561389433,0.4687507848308477,63.42894411188345,65.7578271159052,4.12104075557583,0.0049323582328046275,4.108788098481858,4.133293412669802,3.385583932697149,0.004713042859237226,3.373876085193422,3.3972917802008755,12.0,0.0,nan,nan,18134784.0,0.0,nan,nan
τ(w),61.544958317237736,0.298650841703415,60.80306849871631,62.286848135759165,64.45682418909591,0.47058047947077963,63.287837473629,65.62581090456283,4.1197600818815685,0.0048554758687919765,4.107698411167409,4.131821752595728,3.5644868998715395,0.008199689420203746,3.5441177421581713,3.5848560575849078,12.0,0.0,nan,nan,18134784.0,0.0,nan,nan
