method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Huber-decay,59.05333989236233,0.1672319783681636,58.84569396547419,59.26098581925047,61.52733314982339,0.1750018171026318,61.310039693906816,61.74462660573997,4.0784378874432905,0.0028359808340285347,4.074916552142081,4.0819592227445,4.698788801255679,0.012388522210123912,4.68340641923642,4.714171183274938,12.0,0.0,nan,nan,65647360.0,0.0,nan,nan
PseudoHuber-decay,58.90172614663745,0.13717456596655886,58.73140142660755,59.072050866667354,61.39723402810316,0.17039190825750553,61.18566453003458,61.60880352617175,4.0758682230016685,0.0023322227916086785,4.072972385925538,4.078764060077799,5.317264243375513,0.013176595169426358,5.300903339534731,5.333625147216296,12.0,0.0,nan,nan,65647360.0,0.0,nan,nan
LogCosh-decay,58.88741684122884,0.14101086002756916,58.71232873297686,59.062504949480825,61.453372364460755,0.1463315413495439,61.27167775776536,61.63506697115615,4.075625134038401,0.002397879890918883,4.072647772905831,4.078602495170972,5.3077683550412385,0.01282710419949043,5.291841401555523,5.323695308526954,12.0,0.0,nan,nan,65647360.0,0.0,nan,nan
