method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,65.54632038515345,0.3575612688651011,65.29053646216316,65.80210430814374,68.44162445240923,0.3264838786818108,68.2080719551061,68.67517694971235,4.182743691350077,0.005452557156766393,4.178843166932785,4.18664421576737,3.0581260236512176,0.02359432151630363,3.0412476628128373,3.075004384489598,7.7,0.48304589153964794,7.354449785586357,8.045550214413645,65647360.0,0.0,nan,nan
L2,65.4803665051978,0.4089669250683839,65.18780919103654,65.77292381935905,68.41349499745539,0.3784995893162713,68.14273270233093,68.68425729257984,4.18173276749286,0.0062532736131213455,4.177259445028789,4.18620608995693,9.237916802747284,0.3128767165913995,9.0140982828162,9.461735322678368,9.3,0.4830458915396479,8.954449785586357,9.645550214413644,65647360.0,0.0,nan,nan
ElasticNet,65.01735505285976,0.5062770821824838,64.65518624578584,65.37952385993367,67.97228210307739,0.3322691574577998,67.7345910666489,68.20997313950588,4.174627041030716,0.00776724551350363,4.169070688312261,4.180183393749171,13.83162658787802,0.17228281106909893,13.7083828891997,13.95487028655634,8.2,0.4216370213557839,7.8983790449602385,8.50162095503976,65647360.0,0.0,nan,nan
WD-tuned,61.406447624578014,0.35930255017365287,61.14941806397842,61.663477185177605,64.046017313015,0.18899686619882297,63.91081709957286,64.18121752645715,4.117499437436952,0.005850045998693137,4.113314566631541,4.121684308242363,3.93089760197516,0.008707925749871493,3.9246683271533094,3.9371268767970102,9.3,0.4830458915396479,8.954449785586357,9.645550214413644,65647360.0,0.0,nan,nan
Tau(alpha=0),59.25562603755071,0.165813449720944,59.13701024119001,59.37424183391141,61.83776199146148,0.11158358908817441,61.75793990041426,61.9175840825087,4.081857207843235,0.002797221561808034,4.079856196081466,4.083858219605005,4.49249033015189,0.006856904945577906,4.487585195845487,4.497395464458293,12.0,0.0,nan,nan,65647360.0,0.0,nan,nan
τ(w),58.99495755554197,0.1802154012613115,58.866039223687416,59.12387588739653,61.500513381040946,0.16928655377729668,61.379413075708385,61.62161368637351,4.077447779362017,0.0030528676491079973,4.075263889406213,4.079631669317821,5.792633549924932,0.007227992049962525,5.78746295589569,5.797804143954173,12.0,0.0,nan,nan,65647360.0,0.0,nan,nan
Tau(AdamW-scope),59.845868322202456,0.24439691937970154,59.67103729812623,60.02069934627868,62.30759524623922,0.1752746652082723,62.182211304040784,62.43297918843765,4.091764878702687,0.004088795574377367,4.088839930551454,4.09468982685392,7.522715917288982,0.024245948988211148,7.505371410238453,7.5400604243395115,11.1,0.31622776601683794,10.873784283720179,11.32621571627982,65647360.0,0.0,nan,nan
WD-tuned(weights),61.38771771089735,0.3736144236075121,61.12045005279946,61.654985368995234,64.04554920935921,0.18331391551333995,63.914414333936215,64.1766840847822,4.117193126940466,0.006081341578122152,4.11284279724499,4.1215434566359415,3.930895012381305,0.01168458331049421,3.9225363650167533,3.9392536597458565,9.4,0.5163977794943222,9.030591282210821,9.76940871778918,65647360.0,0.0,nan,nan
