method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper,source
Baseline,65.54632038515345,0.3575612688651011,65.29053646216316,65.80210430814374,68.44162445240923,0.3264838786818108,68.2080719551061,68.67517694971235,4.182743691350077,0.0054525571567663,4.178843166932785,4.18664421576737,3.0581260236512176,0.0235943215163036,3.0412476628128373,3.075004384489598,7.7,0.4830458915396479,7.354449785586357,8.045550214413645,65647360.0,0.0,,,gpt2_large_wikitext_standardized_results.csv
WD-tuned,63.74546555841575,0.3089156973315193,63.52448058096691,63.966450535864595,66.73064744795934,0.3515485466812819,66.47916476730694,66.98213012861174,4.15488748367016,0.0048465324074282,4.151420483242496,4.158354484097825,3.3012942180767055,0.0036537412022785,3.298680489075026,3.303907947078385,8.0,0.0,,,65647360.0,0.0,,,gpt2_large_wikitext_standardized_results.csv
Tau(alpha=0),59.25562603755071,0.165813449720944,59.13701024119001,59.37424183391141,61.83776199146148,0.1115835890881744,61.75793990041426,61.9175840825087,4.081857207843235,0.002797221561808,4.079856196081466,4.083858219605005,4.49249033015189,0.0068569049455779,4.487585195845487,4.497395464458293,12.0,0.0,,,65647360.0,0.0,,,gpt2_large_wikitext_standardized_results.csv
Huber-decay,59.05333989236233,0.1672319783681636,58.84569396547419,59.26098581925047,61.52733314982339,0.1750018171026318,61.310039693906816,61.74462660573997,4.0784378874432905,0.0028359808340285,4.074916552142081,4.0819592227445,4.698788801255679,0.0123885222101239,4.68340641923642,4.714171183274938,12.0,0.0,,,65647360.0,0.0,,,gpt2_large_wikitext_standardized_results_robust_new.csv
PseudoHuber-decay,58.90172614663745,0.1371745659665588,58.73140142660755,59.072050866667354,61.39723402810316,0.1703919082575055,61.18566453003458,61.60880352617175,4.0758682230016685,0.0023322227916086,4.072972385925538,4.078764060077799,5.317264243375513,0.0131765951694263,5.300903339534731,5.333625147216296,12.0,0.0,,,65647360.0,0.0,,,gpt2_large_wikitext_standardized_results_robust_new.csv
LogCosh-decay,58.88741684122884,0.1410108600275691,58.71232873297686,59.062504949480825,61.453372364460755,0.1463315413495439,61.27167775776536,61.63506697115615,4.075625134038401,0.0023978798909188,4.072647772905831,4.078602495170972,5.3077683550412385,0.0128271041994904,5.291841401555523,5.323695308526954,12.0,0.0,,,65647360.0,0.0,,,gpt2_large_wikitext_standardized_results_robust_new.csv
τ(w),58.99495755554197,0.1802154012613115,58.866039223687416,59.12387588739653,61.500513381040946,0.1692865537772966,61.379413075708385,61.62161368637351,4.077447779362017,0.0030528676491079,4.075263889406213,4.079631669317821,5.792633549924932,0.0072279920499625,5.78746295589569,5.797804143954173,12.0,0.0,,,65647360.0,0.0,,,gpt2_large_wikitext_standardized_results.csv
